,qualify_alcohol,seating_interest,address,id
0,yes,roadway,"145 avenue of the americas, manhattan, ny",0
1,no,sidewalk,"315 bleecker street, manhattan, ny",1
2,no,both,"3756 74 street, queens, ny",2
3,no,sidewalk,"131 5th ave, brooklyn, ny",3
4,no,roadway,"71 sullivan street, manhattan, ny",4
5,no,both,"726 courtlandt ave, bronx, ny",5
6,no,roadway,"1140 broadway, manhattan, ny",6
7,no,roadway,"210 flatbush avenue, brooklyn, ny",7
8,no,sidewalk,"16 east   44 street, manhattan, ny",8
9,no,both,"16 east 44th st., manhattan, ny",9
10,no,both,"496 crescent, brooklyn, ny",10
11,no,both,"35-09 ditmars blvd, queens, ny",11
12,yes,sidewalk,"455 hudson street, manhattan, ny",12
13,no,sidewalk,"360 neptune avenue, brooklyn, ny",13
14,no,roadway,"1944 adam clayton powell jr boulevard, manhattan, ny",14
15,no,both,"305 knickerbocker avenue , brooklyn, ny",15
16,no,both,"270 vanderbilt avenue, brooklyn, ny",16
17,yes,sidewalk,"55 st. nicholas avenue, manhattan, ny",17
18,no,both,"1001 50th ave, queens, ny",18
19,no,both,"623 9th ave, manhattan, ny",19
20,no,both,"230 varick street, manhattan, ny",20
21,no,both,"3463 east fremont ave, bronx, ny",21
22,no,roadway,"231 east   50 street, manhattan, ny",22
23,no,roadway,"135-29 40 road, queens, ny",23
24,no,sidewalk,"189 spring street, manhattan, ny",24
25,no,sidewalk,"65 bleecker street, manhattan, ny",25
26,no,roadway,"103 bowery, manhattan, ny",26
27,no,sidewalk,"246 246 3rd ave, manhattan, ny",27
28,no,both,"100 grand street , manhattan, ny",28
29,no,roadway,"663 lexington avenue, manhattan, ny",29
30,yes,both,"140 7 avenue south, manhattan, ny",30
31,no,sidewalk,"54-05 myrtle ave, queens, ny",31
32,yes,sidewalk,"1224 myrtle avenue, brooklyn, ny",32
33,no,both,"200 franklin street, brooklyn, ny",33
34,no,roadway,"1920  1920 ave u, brooklyn, ny",34
35,yes,both,"7137 austin st, queens, ny",35
36,yes,roadway,"196 lenox avenue, manhattan, ny",36
37,no,sidewalk,"60 w 65th st, manhattan, ny",37
38,no,sidewalk,"315 bleecker street, manhattan, ny",38
39,no,sidewalk,"50 east fordham rd., bronx, ny",39
40,yes,roadway,"119 sullivan street, manhattan, ny",40
41,no,roadway,"24 pell street, manhattan, ny",41
42,yes,sidewalk,"3799 east tremont avenue, bronx, ny",42
43,no,sidewalk,"623  9th ave, manhattan, ny",43
44,no,both,"5 sutter ave, brooklyn, ny",44
45,no,roadway,"169 park avenue, brooklyn, ny",45
46,no,both,"37 spring street, manhattan, ny",46
47,yes,sidewalk,"1675 lexington avenue , manhattan, ny",47
48,no,both,"496  crescent ave, brooklyn, ny",48
49,no,both,"2220 31st st, queens, ny",49
50,no,both,"7604  woodside ave, queens, ny",50
51,yes,both,"271 west   23 street, manhattan, ny",51
52,no,both,"32-20 34 avenue, queens, ny",52
53,no,sidewalk,"2678 pitkin avenue, brooklyn, ny",53
54,no,both,"1270  first ave, manhattan, ny",54
55,yes,sidewalk,"668 amsterdam avenue, manhattan, ny",55
56,no,both,"70 west 40th street, manhattan, ny",56
57,yes,both,"244 east 51 street, manhattan, ny",57
58,no,both,"1592 first avenue, manhattan, ny",58
59,no,both,"186 grand street, brooklyn, ny",59
60,yes,both,"1455  st nicholas avenue, manhattan, ny",60
61,yes,both,"54 jay street, brooklyn, ny",61
62,no,sidewalk,"58 west 44th, manhattan, ny",62
63,no,both,"1926d cross bronx expy, bronx, ny",63
64,yes,roadway,"208 west   23 street, manhattan, ny",64
65,no,sidewalk,"1289 madison avenue, manhattan, ny",65
66,no,both,"1911    coney island ave, brooklyn, ny",66
67,no,both,"10 murray street, manhattan, ny",67
68,no,sidewalk,"2119 grand concourse, bronx, ny",68
69,yes,both,"5 edward m morgan place, manhattan, ny",69
70,no,roadway,"40 east 23rd street, manhattan, ny",70
71,no,roadway,"1048 manhattan ave, brooklyn, ny",71
72,yes,roadway,"1345 avenue of the americas, manhattan, ny",72
73,no,both,"50 east fordham rd, bronx, ny",73
74,no,roadway,"359 west   45 street, manhattan, ny",74
75,no,both,"529 henry street, brooklyn, ny",75
76,no,sidewalk,"48 east 23rd street, manhattan, ny",76
77,no,sidewalk,"40-46 main street, queens, ny",77
78,no,both,"81 west broadway, manhattan, ny",78
79,no,sidewalk,"445 gold st, brooklyn, ny",79
80,no,roadway,"72-24 roosevelt avenue, queens, ny",80
81,no,both,"3807  69th street woodside, queens, ny",81
82,yes,both,"6314  14th avenue , brooklyn, ny",82
83,no,both,"7 e 53rd st, manhattan, ny",83
84,no,both,"1437 1st ave, manhattan, ny",84
85,no,sidewalk,"330 8th ave, manhattan, ny",85
86,yes,roadway,"24 w 33rd street, manhattan, ny",86
87,no,sidewalk,"649 broadway, manhattan, ny",87
88,no,roadway,"475 60th street, brooklyn, ny",88
89,no,sidewalk,"110 east   42 street, manhattan, ny",89
90,yes,roadway,"324 spring street, manhattan, ny",90
91,no,both,"54 willoughby, brooklyn, ny",91
92,no,both,"58 st. marks pl., manhattan, ny",92
93,yes,sidewalk,"6914  3rd ave , brooklyn, ny",93
94,yes,roadway,"7001 c  amboy road, staten island, ny",94
95,yes,openstreets,"343-345 west 46th street, manhattan, ny",95
96,yes,openstreets,"3315 ditmars blvd, queens, ny",96
97,no,both,"198 court street, brooklyn, ny",97
98,yes,roadway,"15 first avenue, manhattan, ny",98
99,yes,roadway,"1440 broadway, manhattan, ny",99
100,no,sidewalk,"5 greene avenue, brooklyn, ny",100
101,yes,both,"200-8 200 dyckman street frnt 8, frnt 8, manhattan, ny",101
102,yes,sidewalk,"1170 broadway, manhattan, ny",102
103,yes,both,"45 e 34th st, manhattan, ny",103
104,yes,sidewalk,"31-04 crescent street, queens, ny",104
105,no,roadway,"210 bedford avenue, brooklyn, ny",105
106,yes,both,"86 university place, manhattan, ny",106
107,no,sidewalk,"141 2 avenue, manhattan, ny",107
108,yes,sidewalk,"1616 amsterdam ave, manhattan, ny",108
109,no,sidewalk,"30 west    8 street, manhattan, ny",109
110,yes,sidewalk,"1390  3rd ave, manhattan, ny",110
111,yes,roadway,"225 fifth avenue, manhattan, ny",111
112,no,roadway,"117 west   72 street, manhattan, ny",112
113,yes,both,"4535  park ave , bronx, ny",113
114,no,roadway,"20 christopher street, manhattan, ny",114
115,yes,sidewalk,"165 1/2  hudson street, manhattan, ny",115
116,yes,sidewalk,"600 metropolitan avenue , brooklyn, ny",116
117,yes,roadway,"168-70  east 81st st, manhattan, ny",117
118,yes,both,"174 bleecker street, manhattan, ny",118
119,yes,both,"113 thompson street, manhattan, ny",119
120,yes,both,"2153 frederick douglass blvd, manhattan, ny",120
121,yes,sidewalk,"201 west 79th street, manhattan, ny",121
122,yes,both,"323  w broadway, manhattan, ny",122
123,yes,both,"501 west 51st , manhattan, ny",123
124,yes,both,"710 5th avenue, brooklyn, ny",124
125,yes,roadway,"390 broome  street, manhattan, ny",125
126,no,roadway,"471 16 street, brooklyn, ny",126
127,yes,sidewalk,"1492 2nd ave., manhattan, ny",127
128,no,both,"128 east    4 street, manhattan, ny",128
129,yes,both,"9202 corona avenue, queens, ny",129
130,no,both,"475b myrtle avenue, brooklyn, ny",130
131,yes,roadway,"89 baxter street, manhattan, ny",131
132,yes,sidewalk,"20 skillman avenue, brooklyn, ny",132
133,yes,both,"156  156 5th avenue, brooklyn, ny",133
134,yes,sidewalk,"136-76  39th ave, queens, ny",134
135,no,roadway,"285  253 west 11 street, manhattan, ny",135
136,no,sidewalk,"455 main street, manhattan, ny",136
137,yes,sidewalk,"1236  second avenue, manhattan, ny",137
138,no,openstreets,"10326  roosevelt avenue , queens, ny",138
139,yes,roadway,"61-48 188th st, queens, ny",139
140,yes,roadway,"375 greenwich street, manhattan, ny",140
141,yes,both,"137 avenue a, manhattan, ny",141
142,yes,roadway,"110 lexington avenue, manhattan, ny",142
143,yes,both,"2279 steinway st, queens, ny",143
144,yes,both,"1374  1avenue, manhattan, ny",144
145,yes,both,"25 avenue b, manhattan, ny",145
146,yes,both,"271 5th ave, manhattan, ny",146
147,no,sidewalk,"4979 broadway, manhattan, ny",147
148,yes,sidewalk,"4105 northern blvd, queens, ny",148
149,yes,sidewalk,"2580 coney island ave, brooklyn, ny",149
150,yes,both,"113 rivington street, manhattan, ny",150
151,yes,sidewalk,"33 avenue b, manhattan, ny",151
152,yes,both,"57 nassau ave, brooklyn, ny",152
153,yes,roadway,"179  3rd avenue, manhattan, ny",153
154,yes,sidewalk,"171-16 hillsie avenue, queens, ny",154
155,yes,both,"99  hudson , manhattan, ny",155
156,yes,sidewalk,"1607 york ave, manhattan, ny",156
157,yes,both,"40-04 69 street, queens, ny",157
158,yes,both,"87 macdougal street, manhattan, ny",158
159,no,sidewalk,"6201 8 avenue, brooklyn, ny",159
160,no,sidewalk,"5001  13, brooklyn, ny",160
161,yes,sidewalk,"3183 broadway, manhattan, ny",161
162,yes,roadway,"151-153 mott street, manhattan, ny",162
163,yes,both,"130 franklin st, brooklyn, ny",163
164,yes,sidewalk,"2134  flatbush av, brooklyn, ny",164
165,yes,both,"125  e 7th st, manhattan, ny",165
166,yes,both,"7107 3rd ave, brooklyn, ny",166
167,yes,sidewalk,"445 albee sq west, brooklyn, ny",167
168,yes,roadway,"351 east 12th street, manhattan, ny",168
169,yes,sidewalk,"369 west 16th street, manhattan, ny",169
170,yes,both,"345 e 83 st, manhattan, ny",170
171,no,roadway,"37-22-73 73street, queens, ny",171
172,yes,roadway,"113 jane street, manhattan, ny",172
173,yes,sidewalk,"259 st. nicholas ave, brooklyn, ny",173
174,yes,openstreets,"224  lafayette, manhattan, ny",174
175,yes,both,"69 macdougal street, manhattan, ny",175
176,yes,sidewalk,"390 east  204 street, bronx, ny",176
177,yes,both,"140 saint nicholas avenue, brooklyn, ny",177
178,yes,roadway,"54 carmine street, manhattan, ny",178
179,yes,roadway,"773 fulton st., brooklyn, ny",179
180,yes,both,"123 east 41st street, manhattan, ny",180
181,yes,both,"321 w 44th street, manhattan, ny",181
182,yes,both,"2145b amsterdam avenue, manhattan, ny",182
183,yes,roadway,"1703 2nd avenue, manhattan, ny",183
184,yes,sidewalk,"30 kenmare street, manhattan, ny",184
185,no,sidewalk,"2654 union ave, brooklyn, ny",185
186,yes,both,"42 rivington street, manhattan, ny",186
187,no,roadway,"57  pearl street, brooklyn, ny",187
188,yes,both,"143  christopher street, manhattan, ny",188
189,yes,both,"327 west 57 th st , manhattan, ny",189
190,yes,both,"1600 hylan boulevard, staten island, ny",190
191,no,both,"5-11 47 avenue, queens, ny",191
192,yes,both,"5533  myrtle avenue , queens, ny",192
193,yes,both,"2122  beekman place, brooklyn, ny",193
194,no,both,"250 park  250 park avenue , manhattan, ny",194
195,yes,both,"225 west broadway, manhattan, ny",195
196,yes,both,"231 south 4th street, brooklyn, ny",196
197,no,both,"1502 150th st, queens, ny",197
198,yes,sidewalk,"59 chelsea piers, manhattan, ny",198
199,yes,roadway,"102 norfolk , manhattan, ny",199
200,yes,roadway,"27 bedford street, manhattan, ny",200
201,yes,both,"205 east houston st, manhattan, ny",201
202,no,both,"316 west   39 street, manhattan, ny",202
203,yes,both,"5603  5th ave , brooklyn, ny",203
204,yes,sidewalk,"350 lenox ave, manhattan, ny",204
205,yes,both,"811 lexington avenue, manhattan, ny",205
206,yes,sidewalk,"8701 northern blvd, queens, ny",206
207,no,sidewalk,"1257 97 street , manhattan, ny",207
208,yes,roadway,"113 franklin street, brooklyn, ny",208
209,yes,both,"53  72 street , manhattan, ny",209
210,yes,both,"154 mansion ave, staten island, ny",210
211,yes,sidewalk,"39-35 bell blvd, queens, ny",211
212,yes,both,"135  atlantic ave, brooklyn, ny",212
213,yes,roadway,"299-301  graham, brooklyn, ny",213
214,yes,both,"618 amsterdam avenue, manhattan, ny",214
215,no,sidewalk,"696 washington avenue, brooklyn, ny",215
216,yes,roadway,"149 bleecker, manhattan, ny",216
217,yes,sidewalk,"36-40 union street, queens, ny",217
218,yes,both,"32-01  35th ave, queens, ny",218
219,yes,sidewalk,"90  bedford street, manhattan, ny",219
220,no,both,"2060 broadway, manhattan, ny",220
221,yes,roadway,"231 wet 46th street, manhattan, ny",221
222,yes,both,"15 e  31st st, manhattan, ny",222
223,yes,both,"4139 broadway, manhattan, ny",223
224,no,both,"114 smith street, brooklyn, ny",224
225,no,both,"2154 nostrand ave , brooklyn, ny",225
226,yes,roadway,"9 crosby street, manhattan, ny",226
227,yes,sidewalk,"1556  ralph avenue, brooklyn, ny",227
228,no,both,"696 washington avenue, brooklyn, ny",228
229,no,both,"store 1 111 1st ave , manhattan, ny",229
230,no,both,"412 45 street, brooklyn, ny",230
231,yes,both,"78-23  37th ave, queens, ny",231
232,yes,both,"500 w 146th street, manhattan, ny",232
233,yes,roadway,"3608 3610 ditmars blvd , queens, ny",233
234,yes,both,"375 broome street, manhattan, ny",234
235,yes,both,"58 2nd ave, manhattan, ny",235
236,no,roadway,"929  amsterdam ave, manhattan, ny",236
237,no,sidewalk,"153 east  106 street, manhattan, ny",237
238,yes,sidewalk,"1155 2nd ave, manhattan, ny",238
239,yes,sidewalk,"208-01 northern boulevard, queens, ny",239
240,no,sidewalk,"20 east 40th, manhattan, ny",240
241,yes,roadway,"627 627 5th ave, brooklyn, ny",241
242,yes,roadway,"48 west    8 street, manhattan, ny",242
243,no,both,"789/42 556 7th ave , manhattan, ny",243
244,yes,sidewalk,"59-24 myrtle avenue, queens, ny",244
245,yes,both,"244 e79th st, manhattan, ny",245
246,yes,roadway,"311 west   48 street, manhattan, ny",246
247,yes,sidewalk,"448 east 138th st, bronx, ny",247
248,yes,sidewalk,"500  west 30th , manhattan, ny",248
249,yes,sidewalk,"35-02 71st street, queens, ny",249
250,yes,openstreets,"109  avenue a , manhattan, ny",250
251,yes,both,"33-04 ditmars blvd , queens, ny",251
252,yes,both,"137 west   33 street, manhattan, ny",252
253,yes,both,"17west 45th street, manhattan, ny",253
254,yes,roadway,"370 lewis ave, brooklyn, ny",254
255,no,both,"90-04  37 ave , queens, ny",255
256,no,roadway,"144 fulton street, manhattan, ny",256
257,yes,both,"412  forest ave , staten island, ny",257
258,no,both,"660 amsterdam avenue, manhattan, ny",258
259,no,sidewalk,"935 richmond, staten island, ny",259
260,no,both,"2083 amsterdam w 163 street , manhattan, ny",260
261,yes,openstreets,"79  orchard street, manhattan, ny",261
262,no,both,"3549 johnson avenue, bronx, ny",262
263,yes,both,"8032 baxter avenue, queens, ny",263
264,no,both,"1500 3rd ave, manhattan, ny",264
265,yes,both,"17 ave. b, manhattan, ny",265
266,no,sidewalk,"31-01  36 ave, queens, ny",266
267,yes,openstreets,"50  w 22nd street, manhattan, ny",267
268,no,both,"7011 grand ave, queens, ny",268
269,yes,both,"1462 second ave, manhattan, ny",269
270,yes,both,"257 park ave south, manhattan, ny",270
271,no,both,"65 13  freshpond rd, queens, ny",271
272,yes,sidewalk,"1 1662 atlantic ave, brooklyn, ny",272
273,yes,both,"637a  vanderbilt ave, brooklyn, ny",273
274,yes,both,"282 hudson street, manhattan, ny",274
275,yes,roadway,"2507 eastchester road, bronx, ny",275
276,no,sidewalk,"2522 steinway , queens, ny",276
277,no,both,"191 5 avenue, brooklyn, ny",277
278,no,sidewalk,"175 bleecker street, manhattan, ny",278
279,yes,both,"547  9th avenue , manhattan, ny",279
280,yes,both,"629  vanderbilt ave., brooklyn, ny",280
281,yes,both,"990 metropolitan ave, brooklyn, ny",281
282,yes,both,"2027 emmons ave, brooklyn, ny",282
283,no,both,"378 tompkins avenue, brooklyn, ny",283
284,yes,both,"109 9th street, manhattan, ny",284
285,yes,sidewalk,"185 baltic, brooklyn, ny",285
286,no,roadway,"112 1 avenue, manhattan, ny",286
287,yes,both,"579 meeker avenue, brooklyn, ny",287
288,yes,both,"1697  broadway, manhattan, ny",288
289,yes,both,"1028 1036 46th ave, queens, ny",289
290,yes,sidewalk,"42-01 28 avenue, queens, ny",290
291,no,both,"832 clarkson avenue, brooklyn, ny",291
292,no,both,"134 ludlow street, manhattan, ny",292
293,yes,both,"17 west 26th st , manhattan, ny",293
294,no,openstreets,"70  pine, manhattan, ny",294
295,yes,both,"1468  st nicholas avenue, manhattan, ny",295
296,yes,both,"826  10th avenue , manhattan, ny",296
297,yes,both,"3352 fulton, brooklyn, ny",297
298,yes,roadway,"121 hudson street, manhattan, ny",298
299,yes,sidewalk,"59-09 71st ave, queens, ny",299
300,no,both,"621 e 187 187, bronx, ny",300
301,no,roadway,"213 pinehurst avenue, manhattan, ny",301
302,yes,sidewalk,"343 west 14th street, manhattan, ny",302
303,yes,both,"510 columbus, manhattan, ny",303
304,yes,both,"2419 grand concourse, bronx, ny",304
305,no,roadway,"687 9 avenue, manhattan, ny",305
306,no,roadway,"41 west   58 street, manhattan, ny",306
307,yes,both,"81-15  northern blvd, queens, ny",307
308,no,roadway,"252 7 avenue, brooklyn, ny",308
309,yes,sidewalk,"939 8th ave, manhattan, ny",309
310,yes,both,"134 west   29 street, manhattan, ny",310
311,yes,sidewalk,"1697 broadway, manhattan, ny",311
312,no,both,"210 west   94 street, manhattan, ny",312
313,yes,sidewalk,"171-07 northernblvd, queens, ny",313
314,no,sidewalk,"18 18 east broadway, manhattan, ny",314
315,yes,sidewalk,"107 eldridge street, manhattan, ny",315
316,yes,both,"33-09 36th ave, queens, ny",316
