,name,address,zipcode,borough,cuisine,phone,critical_flag,latitude,longitude,id
0,southeast bakery,"6821 fort hamilton parkway, brooklyn, ny",11219.0,brooklyn,chinese,7186801188,critical,40.629008934199,-74.011629218537,0
1,starbucks,"1500 broadway, manhattan, ny",10036.0,manhattan,coffee/tea,2122217515,critical,40.75684918547,-73.985973293277,1
2,drunken horse,"225 10 avenue, manhattan, ny",10011.0,manhattan,american,2126040505,critical,40.747910288174,-74.004013277629,2
3,delicias mexicanos,"10214 roosevelt ave, queens, ny",11368.0,queens,mexican,7186724485,critical,40.74974264375,-73.863819034074,3
4,randolph beer,"343 broome street, manhattan, ny",10013.0,manhattan,american,2123343706,not critical,40.719650143157,-73.99476908673,4
5,j j noodle,"19 henry street, manhattan, ny",10002.0,manhattan,chinese,2125712440,not critical,40.712854162216,-73.996486628928,5
6,fine bakery city inc,"303 grand street, manhattan, ny",10002.0,manhattan,bakery products/desserts,2129663318,not critical,40.717506303559,-73.991771497993,6
7,kakurega japanese cuisine,"13344 37th ave, queens, ny",11354.0,queens,japanese,7188868668,not critical,40.7606788627,-73.833427655366,7
8,dunkin,"585 veterans road west, staten island, ny",10309.0,staten island,donuts,7186733298,not critical,40.548477481281,-74.221303368304,8
9,alberto's,"9831 metropolitan ave, queens, ny",11375.0,queens,italian,7182687860,not critical,40.710905379403,-73.853661860533,9
10,burger king,"1297 fulton st, brooklyn, ny",11216.0,brooklyn,hamburgers,3475339880,critical,40.680369546007,-73.949171162778,10
11,mike jr's richmond diner,"3954 richmond avenue, staten island, ny",10312.0,staten island,american,7183172331,critical,40.541809730486,-74.16283335335599,11
12,yamato,"168 7 avenue, brooklyn, ny",11215.0,brooklyn,asian/asian fusion,7188400099,critical,40.67186430132,-73.977443941911,12
13,down town association,"60 pine street, manhattan, ny",10005.0,manhattan,american,2124221982,not critical,40.706516245366004,-74.008259601503,13
14,napoli pizza & pasta,"33-02 35 avenue, queens, ny",11106.0,queens,pizza,7184721146,not critical,40.757304269148996,-73.92677618212,14
15,sam's spot,"6801 4 avenue, brooklyn, ny",11220.0,brooklyn,american,3475787168,critical,40.635204880906,-74.02326781096501,15
16,douglaston manor,"6320 commonwealth blvd, queens, ny",11362.0,queens,american,7182248787,critical,40.754571762977,-73.72846613420299,16
17,a&h deli,"431 7 avenue, manhattan, ny",10001.0,manhattan,american,2125636200,critical,40.750709646684,-73.990810938952,17
18,new chinatown restaurant,"11-13 avenue d, manhattan, ny",10009.0,manhattan,chinese,2126712408,critical,40.720364623924,-73.978459227887,18
20,portal latino restaurant,"217 smith street, brooklyn, ny",11201.0,brooklyn,spanish,7182461416,not critical,40.684429080009,-73.99200274901,19
21,"threes brewing, 9th street expresso","333 douglass street, brooklyn, ny",11217.0,brooklyn,american,7185222110,not critical,40.679610945173,-73.98251404219201,20
22,denny's,"8710 northern blvd, queens, ny",11372.0,queens,american,7184461312,not critical,40.756054985164,-73.880514498644,21
23,have & meyer chatteria,"103 havemeyer street, brooklyn, ny",11211.0,brooklyn,italian,7184190722,not critical,40.713235719258996,-73.95649021854399,22
24,pick up six fresh fast asian kitchen,"221 west  230 street, bronx, ny",10463.0,bronx,asian/asian fusion,7186011168,critical,40.877284734545,-73.907073130913,23
25,angie's breakfast spot,"1637 broadway, brooklyn, ny",11207.0,brooklyn,latin american,7185737765,critical,40.684937841988,-73.914030682443,24
26,the liberty,"29 west   35 street, manhattan, ny",10001.0,manhattan,irish,2129674000,critical,40.749602930192,-73.985267430574,25
27,outside looking in restaurant & lounge,"1877 carter avenue, bronx, ny",10457.0,bronx,spanish,7183013250,not critical,40.847318965381,-73.901913919179,26
28,"subway, carvel","9 ferry terminal dr, staten island, ny",10301.0,staten island,sandwiches,7187272197,not critical,40.643860303619,-74.07290065517701,27
29,underdog,"55 stone street, manhattan, ny",10004.0,manhattan,american,9174090251,critical,40.704416337808,-74.010221384492,28
30,chill bar & hookah lounge,"7810 5 avenue, brooklyn, ny",11209.0,brooklyn,other,7187485800,critical,40.627077503684,-74.023632421963,29
31,new kim tuong restaurant,"83 chrystie street, manhattan, ny",10002.0,manhattan,chinese,2129662878,critical,40.717415875069,-73.994206507578,30
32,bhanchha ghar ii inc,"7411 roosevelt ave, queens, ny",11372.0,queens,other,6468619147,not critical,40.746867937435,-73.891224533132,31
33,bhanchha ghar ii inc,"7411 roosevelt ave, queens, ny",11372.0,queens,other,6468619147,not critical,40.746867937435,-73.891224533132,32
34,al bait baitak,"6916 4 avenue, brooklyn, ny",11209.0,brooklyn,egyptian,7186665436,critical,40.634375882884996,-74.023627810702,33
35,shun lee,"37 west   65 street, manhattan, ny",10023.0,manhattan,chinese,2125958895,critical,40.772273899388,-73.980363099092,34
36,moge tee,"90 canal street, manhattan, ny",10002.0,manhattan,coffee/tea,6462385798,not critical,40.7154121642,-73.993640336922,35
37,auntie guan's kitchen 108,"108 west   14 street, manhattan, ny",10011.0,manhattan,chinese,2122068388,critical,40.737592767193,-73.99743435536101,36
38,mckenna's pub,"250 west   14 street, manhattan, ny",10011.0,manhattan,american,2122552889,not critical,40.739146326535,-74.001125878852,37
39,hana noodle station,"445 albee square west, brooklyn, ny",11201.0,brooklyn,chinese,9293784473,critical,40.690826232689,-73.98345224546,38
40,forever taste restaurant,"27 rutgers street, manhattan, ny",10002.0,manhattan,chinese,6462888434,not critical,40.712853780429,-73.990004567554,39
41,lucky restaurant,"4521 parsons blvd, queens, ny",11355.0,queens,chinese,3478825962,critical,40.755240756923,-73.81503301647601,40
42,lucky restaurant,"4521 parsons blvd, queens, ny",11355.0,queens,chinese,3478825962,critical,40.755240756923,-73.81503301647601,41
43,dudleys,"85 orchard street, manhattan, ny",10002.0,manhattan,australian,2129257355,not critical,40.717865759507,-73.990375378245,42
44,abdullah sweets & restaurant,"7306 37th ave, queens, ny",11372.0,queens,indian,7184069457,critical,40.748867346592,-73.892520538155,43
45,slattery's midtown pub,"8 east   36 street, manhattan, ny",10016.0,manhattan,american,2126836444,not critical,40.749451657071,-73.98301535674099,44
46,mama rosaria's pizzeria restaurant,"2146 forest avenue, staten island, ny",10303.0,staten island,pizza,7188150557,critical,40.62656060254,-74.160962289971,45
47,emmy,"919 fulton street, brooklyn, ny",11238.0,brooklyn,american,3478449588,not critical,40.683381422171,-73.966407027011,46
48,momento's pizza coffee shop,"4053 99th st, queens, ny",11368.0,queens,pizza,7187792026,critical,40.748628165490004,-73.86606257587499,47
49,benny's chao king restaurant,"906 columbus avenue, manhattan, ny",10025.0,manhattan,chinese,2128643790,critical,40.798161077847,-73.963668927959,48
50,triona's bar restaurant,"192 3 avenue, manhattan, ny",10003.0,manhattan,irish,6464484671,not critical,40.735387854614004,-73.985663899313,49
51,triona's bar restaurant,"192 3 avenue, manhattan, ny",10003.0,manhattan,irish,6464484671,not critical,40.735387854614004,-73.985663899313,50
52,shamrock inn,"1729 crosby avenue, bronx, ny",10461.0,bronx,irish,7188228889,not critical,40.845892424158,-73.831539981755,51
53,golden steamer,"143 mott street, manhattan, ny",10013.0,manhattan,bakery products/desserts,2122261886,not applicable,40.718681310365,-73.996645049413,52
54,hunan kitchen flushing,"4247 main st, queens, ny",11355.0,queens,chinese,7188880553,critical,40.753912788297,-73.82769487214401,53
55,pho saigon,"987 1 avenue, manhattan, ny",10022.0,manhattan,southeast asian,2126886888,critical,40.756523330784,-73.964229545987,54
56,bahary fish market,"484 bay ridge avenue, brooklyn, ny",11220.0,brooklyn,mediterranean,6465412151,not critical,40.633742230444,-74.021642407098,55
57,bahary fish market,"484 bay ridge avenue, brooklyn, ny",11220.0,brooklyn,mediterranean,6465412151,not critical,40.633742230444,-74.021642407098,56
58,looking glass,"1087 broadway, brooklyn, ny",11221.0,brooklyn,italian,9178542414,critical,40.694396612715,-73.930646425188,57
59,khao kang,"7620 woodside ave, queens, ny",11373.0,queens,thai,7188061807,critical,40.743428984264,-73.88861016487199,58
60,champ gourmet,"30 broad street, manhattan, ny",10004.0,manhattan,american,2123634000,not critical,40.706172894713,-74.011249591231,59
61,john's pizzeria,"8502 grand avenue, queens, ny",11373.0,queens,pizza,7184577561,not critical,40.734921850516,-73.882013926505,60
62,levain bakery,"351 amsterdam avenue, manhattan, ny",10024.0,manhattan,bakery products/desserts,9174643782,critical,40.781647067212,-73.979403436095,61
63,mochii,"116 east    7 street, manhattan, ny",10009.0,manhattan,frozen desserts,9175757454,not critical,40.726404074391,-73.984410292466,62
64,mochii,"116 east    7 street, manhattan, ny",10009.0,manhattan,frozen desserts,9175757454,not critical,40.726404074391,-73.984410292466,63
65,jamaica breeze restaurant,"23202 merrick blvd, queens, ny",11413.0,queens,caribbean,3478948049,not critical,40.675150949463,-73.73765574513601,64
66,the stumble inn,"1454 2 avenue, manhattan, ny",10021.0,manhattan,american,2126500561,critical,40.771281983582,-73.956538796394,65
67,donato's pizzeria restaurant,"5022 39 avenue, queens, ny",11377.0,queens,pizza,7185074591,critical,40.748832608482,-73.913074504463,66
68,donato's pizzeria restaurant,"5022 39 avenue, queens, ny",11377.0,queens,pizza,7185074591,critical,40.748832608482,-73.913074504463,67
69,som bo,"143 8th ave, manhattan, ny",10011.0,manhattan,asian/asian fusion,9173856399,not critical,40.741751107194,-74.00107540085101,68
70,ankara one,"1425 kings highway, brooklyn, ny",11229.0,brooklyn,turkish,6465086777,not critical,40.608501345574005,-73.95888170688501,69
71,rio de la plata bakery,"9465 corona ave, queens, ny",11373.0,queens,bakery products/desserts,7182715422,critical,40.742302665669,-73.869471186058,70
72,apollo cafe & bakery,"4102 delong st, queens, ny",11355.0,queens,coffee/tea,9173738400,not critical,40.754797811433,-73.836012342281,71
73,the legend,"4032 149th pl, queens, ny",11354.0,queens,korean,9175828629,critical,40.762613005226,-73.81491499758,72
74,smashburger,"5210 kings highway, brooklyn, ny",11234.0,brooklyn,american,7182606215,critical,40.63638594590999,-73.92660672336099,73
75,aris sports bar restaurant,"4514 3 avenue, brooklyn, ny",11220.0,brooklyn,spanish,3476892538,critical,40.650341357333005,-74.01183115825201,74
76,giulia's cucina & desserts,"1611-13 bay ridge pkwy, brooklyn, ny",11204.0,brooklyn,italian,7182592900,not critical,40.616089825075996,-74.000450238504,75
77,panino rustico ii,"5801 avenue n, brooklyn, ny",11234.0,brooklyn,italian,7184447261,critical,40.619434562782004,-73.919061043703,76
78,sonrisa azul,"9606 37th ave, queens, ny",11368.0,queens,"juice, smoothies, fruit salads",3476598466,critical,40.751578578049,-73.87066565386999,77
79,dario the baker pizzeria,"4392 victory boulevard, staten island, ny",10314.0,staten island,pizza,7185244514,not critical,40.587309470559,-74.198109415166,78
