,name,address,borough,cuisine,phone,critical_flag,latitude,longitude,qualify_alcohol,seating_interest
0,southeast bakery,"6821 fort hamilton parkway, brooklyn, ny",brooklyn,chinese,7186801188,critical,40.629008934199,-74.011629218537,yes,both
129,starbucks,"1500 broadway, manhattan, ny",manhattan,coffee/tea,2122217515,critical,40.75684918547,-73.985973293277,no,roadway
131,drunken horse,"225 10 avenue, manhattan, ny",manhattan,american,2126040505,critical,40.747910288174,-74.004013277629,yes,both
132,delicias mexicanos,"10214 roosevelt ave, queens, ny",queens,mexican,7186724485,critical,40.74974264375,-73.863819034074,yes,both
135,randolph beer,"343 broome street, manhattan, ny",manhattan,american,2123343706,not critical,40.719650143157,-73.99476908673,yes,both
136,j j noodle,"19 henry street, manhattan, ny",manhattan,chinese,2125712440,not critical,40.712854162216,-73.996486628928,yes,both
343,fine bakery city inc,"303 grand street, manhattan, ny",manhattan,bakery products/desserts,2129663318,not critical,40.717506303559,-73.991771497993,no,both
590,kakurega japanese cuisine,"13344 37th ave, queens, ny",queens,japanese,7188868668,not critical,40.7606788627,-73.833427655366,no,both
591,dunkin,"585 veterans road west, staten island, ny",staten island,donuts,7186733298,not critical,40.548477481281,-74.221303368304,yes,both
593,alberto's,"9831 metropolitan ave, queens, ny",queens,italian,7182687860,not critical,40.710905379403,-73.853661860533,no,sidewalk
803,burger king,"1297 fulton st, brooklyn, ny",brooklyn,hamburgers,3475339880,critical,40.680369546007,-73.949171162778,yes,both
804,mike jr's richmond diner,"3954 richmond avenue, staten island, ny",staten island,american,7183172331,critical,40.541809730486,-74.16283335335599,yes,both
1024,yamato,"168 7 avenue, brooklyn, ny",brooklyn,asian/asian fusion,7188400099,critical,40.67186430132,-73.977443941911,no,sidewalk
1226,down town association,"60 pine street, manhattan, ny",manhattan,american,2124221982,not critical,40.706516245366004,-74.008259601503,yes,both
1452,napoli pizza & pasta,"33-02 35 avenue, queens, ny",queens,pizza,7184721146,not critical,40.757304269148996,-73.92677618212,yes,both
1597,sam's spot,"6801 4 avenue, brooklyn, ny",brooklyn,american,3475787168,critical,40.635204880906,-74.02326781096501,yes,both
1802,douglaston manor,"6320 commonwealth blvd, queens, ny",queens,american,7182248787,critical,40.754571762977,-73.72846613420299,yes,sidewalk
2004,a&h deli,"431 7 avenue, manhattan, ny",manhattan,american,2125636200,critical,40.750709646684,-73.990810938952,yes,both
2279,new chinatown restaurant,"11-13 avenue d, manhattan, ny",manhattan,chinese,2126712408,critical,40.720364623924,-73.978459227887,yes,sidewalk
2519,portal latino restaurant,"217 smith street, brooklyn, ny",brooklyn,spanish,7182461416,not critical,40.684429080009,-73.99200274901,yes,sidewalk
2689,"threes brewing, 9th street expresso","333 douglass street, brooklyn, ny",brooklyn,american,7185222110,not critical,40.679610945173,-73.98251404219201,yes,both
2690,denny's,"8710 northern blvd, queens, ny",queens,american,7184461312,not critical,40.756054985164,-73.880514498644,yes,sidewalk
2691,have & meyer chatteria,"103 havemeyer street, brooklyn, ny",brooklyn,italian,7184190722,not critical,40.713235719258996,-73.95649021854399,yes,both
2898,pick up six fresh fast asian kitchen,"221 west  230 street, bronx, ny",bronx,asian/asian fusion,7186011168,critical,40.877284734545,-73.907073130913,no,sidewalk
3100,angie's breakfast spot,"1637 broadway, brooklyn, ny",brooklyn,latin american,7185737765,critical,40.684937841988,-73.914030682443,no,sidewalk
3101,the liberty,"29 west   35 street, manhattan, ny",manhattan,irish,2129674000,critical,40.749602930192,-73.985267430574,yes,both
3282,outside looking in restaurant & lounge,"1877 carter avenue, bronx, ny",bronx,spanish,7183013250,not critical,40.847318965381,-73.901913919179,yes,sidewalk
3463,"subway, carvel","9 ferry terminal dr, staten island, ny",staten island,sandwiches,7187272197,not critical,40.643860303619,-74.07290065517701,no,both
3700,underdog,"55 stone street, manhattan, ny",manhattan,american,9174090251,critical,40.704416337808,-74.010221384492,yes,roadway
3701,chill bar & hookah lounge,"7810 5 avenue, brooklyn, ny",brooklyn,other,7187485800,critical,40.627077503684,-74.023632421963,yes,roadway
3870,new kim tuong restaurant,"83 chrystie street, manhattan, ny",manhattan,chinese,2129662878,critical,40.717415875069,-73.994206507578,yes,both
4099,bhanchha ghar ii inc,"7411 roosevelt ave, queens, ny",queens,other,6468619147,not critical,40.746867937435,-73.891224533132,no,sidewalk
4100,al bait baitak,"6916 4 avenue, brooklyn, ny",brooklyn,egyptian,7186665436,critical,40.634375882884996,-74.023627810702,yes,roadway
4319,shun lee,"37 west   65 street, manhattan, ny",manhattan,chinese,2125958895,critical,40.772273899388,-73.980363099092,no,sidewalk
4552,moge tee,"90 canal street, manhattan, ny",manhattan,coffee/tea,6462385798,not critical,40.7154121642,-73.993640336922,yes,openstreets
4759,auntie guan's kitchen 108,"108 west   14 street, manhattan, ny",manhattan,chinese,2122068388,critical,40.737592767193,-73.99743435536101,yes,sidewalk
4760,mckenna's pub,"250 west   14 street, manhattan, ny",manhattan,american,2122552889,not critical,40.739146326535,-74.001125878852,yes,both
4990,hana noodle station,"445 albee square west, brooklyn, ny",brooklyn,chinese,9293784473,critical,40.690826232689,-73.98345224546,no,sidewalk
4991,forever taste restaurant,"27 rutgers street, manhattan, ny",manhattan,chinese,6462888434,not critical,40.712853780429,-73.990004567554,no,sidewalk
5212,lucky restaurant,"4521 parsons blvd, queens, ny",queens,chinese,3478825962,critical,40.755240756923,-73.81503301647601,no,sidewalk
5434,dudleys,"85 orchard street, manhattan, ny",manhattan,australian,2129257355,not critical,40.717865759507,-73.990375378245,yes,openstreets
